Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2063,Chuky san jose,ESP,"MF,FW",Valladolid,La Liga,20,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,Antonio Sanabria,PAR,FW,Torino,Serie A,28,1996,10.8,2,13,4,30.8,1.2,0.37,0.15,0.5,15.5,0,0,1,2.4,1.6,0.13,-0.4,0.4
2065,Oihan Sancet,ESP,MF,Athletic Club,La Liga,24,2000,11.4,7,22,9,40.9,1.92,0.79,0.27,0.67,15.6,0,1,1,5.3,4.5,0.21,1.7,1.5
2066,Alexis Sánchez,CHI,"FW,MF",Udinese,Serie A,36,1988,1.8,0,4,0,0,2.25,0,0,0,16.1,0,0,0,0.5,0.5,0.14,-0.5,-0.5
2067,Antonio Sánchez,ESP,"MF,DF",Mallorca,La Liga,28,1997,9.6,0,9,1,11.1,0.94,0.1,0,0,17.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7
2068,Iván Sánchez,ESP,"MF,FW",Valladolid,La Liga,32,1992,9,1,6,2,33.3,0.67,0.22,0.17,0.5,22.3,1,0,0,0.3,0.3,0.05,0.7,0.7
2069,Javi Sánchez,ESP,DF,Valladolid,La Liga,27,1997,13.8,1,4,2,50,0.29,0.14,0.25,0.5,17.3,1,0,0,0.2,0.2,0.04,0.8,0.8
2070,Juanlu Sánchez,ESP,"MF,DF",Sevilla,La Liga,21,2003,8.4,2,9,2,22.2,1.07,0.24,0.22,1,12,0,0,0,1.3,1.3,0.15,0.7,0.7
2071,Manu Sánchez,ESP,DF,Alavés,La Liga,24,2000,15.4,0,5,0,0,0.32,0,0,0,21.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2072,Robert Sánchez,ESP,GK,Chelsea,Premier League,27,1997,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,Jadon Sancho,ENG,FW,Chelsea,Premier League,24,2000,11.8,2,15,4,26.7,1.27,0.34,0.13,0.5,14,0,0,0,1.4,1.4,0.09,0.6,0.6
2074,Philipp Sander,GER,MF,Gladbach,Bundesliga,26,1998,8.3,1,10,5,50,1.2,0.6,0.1,0.2,20.6,0,0,0,0.7,0.7,0.07,0.3,0.3
2075,James Sands,USA,"MF,DF",St. Pauli,Bundesliga,24,2000,2,0,1,0,0,0.49,0,0,0,9.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2076,Leroy Sané,GER,FW,Bayern Munich,Bundesliga,29,1996,9.2,5,33,11,33.3,3.57,1.19,0.15,0.45,17.1,1,0,0,4.4,4.4,0.13,0.6,0.6
2077,Arouna Sangante,SEN,DF,Le Havre,Ligue 1,22,2002,7.6,2,5,3,60,0.66,0.39,0.4,0.67,11.1,0,0,0,0.4,0.4,0.08,1.6,1.6
2078,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,Premier League,27,1997,2.4,0,1,1,100,0.42,0.42,0,0,32,0,0,0,0,0,0.02,0,0
2079,Nhoa Sangui,FRA,"DF,MF",Reims,Ligue 1,18,2006,7.9,0,3,0,0,0.38,0,0,0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2080,Kaishu Sano,JPN,MF,Mainz 05,Bundesliga,24,2000,19.8,0,12,2,16.7,0.61,0.1,0,0,21.1,0,0,0,0.4,0.4,0.03,-0.4,-0.4
2081,Nicola Sansone,ITA,"MF,FW",Lecce,Serie A,33,1991,0.7,0,3,1,33.3,4.15,1.38,0,0,26,2,0,0,0.2,0.2,0.07,-0.2,-0.2
2082,Baptiste Santamaria,FRA,MF,Nice,Ligue 1,29,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,Baptiste Santamaria,FRA,MF,Rennes,Ligue 1,29,1995,5.4,0,4,1,25,0.75,0.19,0,0,19.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2084,Jesús Santiago,ESP,MF,Getafe,La Liga,20,2004,3.5,0,1,0,0,0.28,0,0,0,22.9,0,0,0,0,0,0.02,0,0
2085,Andrey Santos,BRA,MF,Strasbourg,Ligue 1,20,2004,17.7,7,24,11,45.8,1.35,0.62,0.29,0.64,15.7,0,0,0,3.4,3.4,0.14,3.6,3.6
2086,Kauã Santos,BRA,GK,Eint Frankfurt,Bundesliga,21,2003,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,Tiago Santos,POR,DF,Lille,Ligue 1,22,2002,4.5,0,8,4,50,1.78,0.89,0,0,20.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
2088,Pablo Sarabia,ESP,"MF,FW",Wolves,Premier League,32,1992,3.9,1,8,6,75,2.06,1.55,0.13,0.17,16.5,0,0,0,2.3,2.3,0.29,-1.3,-1.3
2089,Jeremy Sarmiento,ECU,MF,Brighton,Premier League,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,Amin Sarr,SWE,FW,Hellas Verona,Serie A,23,2001,7.9,3,9,3,33.3,1.13,0.38,0.33,1,15.1,0,0,0,1.2,1.2,0.14,1.8,1.8
2091,Ismaila Sarr,SEN,"MF,FW",Crystal Palace,Premier League,26,1998,16.7,4,33,20,60.6,1.98,1.2,0.12,0.2,15.3,0,0,0,3.9,3.9,0.12,0.1,0.1
2092,Malang Sarr,FRA,DF,Lens,Ligue 1,26,1999,6.3,0,3,0,0,0.48,0,0,0,13.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
2093,Mamadou Sarr,FRA,DF,Strasbourg,Ligue 1,19,2005,12.5,0,2,0,0,0.16,0,0,0,8.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
2094,Martin Satriano,URU,"FW,DF",Lens,Ligue 1,23,2001,0.5,0,3,0,0,6.59,0,0,0,8.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3
2095,Razvan Sava,ROU,GK,Udinese,Serie A,22,2002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,Téji Savanier,FRA,MF,Montpellier,Ligue 1,33,1991,16.9,2,31,11,35.5,1.83,0.65,0,0,26.7,9,2,2,3.3,1.7,0.06,-1.3,-1.7
2097,Sávio,BRA,"FW,MF",Manchester City,Premier League,20,2004,12,1,36,14,38.9,3,1.17,0.03,0.07,18.3,1,0,0,3,3,0.08,-2,-2
2098,Nicolò Savona,ITA,DF,Juventus,Serie A,21,2003,13.5,2,5,4,80,0.37,0.3,0.4,0.5,12.3,0,0,0,0.4,0.4,0.09,1.6,1.6
2099,Saba Sazonov,GEO,DF,Torino,Serie A,23,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,Joe Scally,USA,DF,Gladbach,Bundesliga,22,2002,16.7,0,2,0,0,0.12,0,0,0,27.7,0,0,0,0,0,0.02,0,0
2101,Giorgio Scalvini,ITA,DF,Atalanta,Serie A,21,2003,3,0,4,0,0,1.32,0,0,0,18.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2102,Oliver Scarles,ENG,"DF,FW",West Ham,Premier League,19,2005,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,Kevin Schade,GER,FW,Brentford,Premier League,23,2001,11.9,6,27,13,48.1,2.26,1.09,0.22,0.46,11.9,0,0,0,4.3,4.3,0.16,1.7,1.7
2104,András Schäfer,HUN,MF,Union Berlin,Bundesliga,25,1999,8.8,1,8,1,12.5,0.91,0.11,0.13,1,21.5,0,0,0,0.5,0.5,0.07,0.5,0.5
2105,Fabian Schär,SUI,DF,Newcastle Utd,Premier League,33,1991,17.8,2,19,5,26.3,1.07,0.28,0.11,0.4,19.2,3,0,0,1.4,1.4,0.07,0.6,0.6
2106,Patrik Schick,CZE,FW,Leverkusen,Bundesliga,29,1996,8.7,13,38,20,52.6,4.38,2.3,0.34,0.65,11.2,0,0,0,8.1,8.1,0.21,4.9,4.9
2107,Stefan Schimmer,GER,FW,Heidenheim,Bundesliga,30,1994,2,0,9,1,11.1,4.45,0.49,0,0,13.5,0,0,0,1,1,0.12,-1,-1
2108,Joël Schingtienne,BEL,DF,Venezia,Serie A,22,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109,Xaver Schlager,AUT,MF,RB Leipzig,Bundesliga,27,1997,2,0,1,0,0,0.5,0,0,0,22,0,0,0,0.1,0.1,0.06,-0.1,-0.1
2110,Keven Schlotterbeck,GER,DF,Augsburg,Bundesliga,27,1997,11.7,3,12,4,33.3,1.02,0.34,0.25,0.75,12.7,0,0,0,0.8,0.8,0.06,2.2,2.2
2111,Nico Schlotterbeck,GER,DF,Dortmund,Bundesliga,25,1999,16,0,9,3,33.3,0.56,0.19,0,0,14.5,0,0,0,0.7,0.7,0.08,-0.7,-0.7
2112,Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,Premier League,32,1992,1.1,0,4,2,50,3.5,1.75,0,0,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2113,Romano Schmid,AUT,MF,Werder Bremen,Bundesliga,25,2000,19.8,1,30,7,23.3,1.52,0.35,0.03,0.14,17.8,0,0,0,2.2,2.2,0.07,-1.2,-1.2
2114,Niklas Schmidt,GER,MF,Toulouse,Ligue 1,26,1998,2.3,0,3,1,33.3,1.32,0.44,0,0,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2115,Jan Schöppner,GER,MF,Heidenheim,Bundesliga,25,1999,17.3,3,28,10,35.7,1.62,0.58,0.11,0.3,15.6,0,0,0,2.6,2.6,0.09,0.4,0.4
2116,Marvin Schulz,GER,"DF,MF",Holstein Kiel,Bundesliga,30,1995,2.9,0,3,1,33.3,1.04,0.35,0,0,28.1,0,0,0,0,0,0.01,0,0
2117,Alexander Schwolow,GER,GK,Union Berlin,Bundesliga,32,1992,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2118,Léo Scienza,BRA,"FW,MF",Heidenheim,Bundesliga,26,1998,9.3,3,29,14,48.3,3.12,1.51,0.1,0.21,21.1,2,0,0,1.6,1.6,0.06,1.4,1.4
2119,Alex Scott,ENG,MF,Bournemouth,Premier League,21,2003,2.9,0,3,1,33.3,1.03,0.34,0,0,24,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2120,Simone Scuffet,ITA,GK,Cagliari,Serie A,28,1996,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2121,Jérémy Sebas,MTQ,"FW,MF",Strasbourg,Ligue 1,21,2003,2,0,6,2,33.3,3,1,0,0,15.6,0,0,0,0.7,0.7,0.12,-0.7,-0.7
2122,Aleksandar Sedlar,SRB,DF,Alavés,La Liga,33,1991,4.7,0,1,0,0,0.21,0,0,0,11.8,0,0,0,0,0,0.03,0,0
2123,Jacopo Seghetti,ITA,GK,Empoli,Serie A,19,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,Alidu Seidu,GHA,DF,Rennes,Ligue 1,24,2000,8.9,0,3,0,0,0.34,0,0,0,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2125,Nicolas Seiwald,AUT,"DF,MF",RB Leipzig,Bundesliga,23,2001,11.3,0,2,0,0,0.18,0,0,0,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2126,Hiroki Sekine,JPN,FW,Reims,Ligue 1,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,Matz Sels,BEL,GK,Nott'ham Forest,Premier League,32,1992,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,Nélson Semedo,POR,DF,Wolves,Premier League,31,1993,17.9,0,9,4,44.4,0.5,0.22,0,0,25.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
2129,Antoine Semenyo,GHA,FW,Bournemouth,Premier League,25,2000,21.4,7,85,26,30.6,3.97,1.21,0.08,0.27,16.6,0,0,0,6.8,6.8,0.08,0.2,0.2
2130,Marvin Senaya,TOG,DF,Strasbourg,Ligue 1,24,2001,2.5,0,1,0,0,0.4,0,0,0,22.5,0,0,0,0,0,0.01,0,0
2131,Marcos Senesi,ARG,DF,Bournemouth,Premier League,27,1997,10.2,0,2,0,0,0.2,0,0,0,6,0,0,0,0.8,0.8,0.4,-0.8,-0.8
2132,Stefano Sensi,ITA,MF,Monza,Serie A,29,1995,1.4,0,1,0,0,0.73,0,0,0,24.6,0,0,0,0,0,0.04,0,0
2133,Suat Serdar,GER,MF,Hellas Verona,Serie A,27,1997,9.9,1,22,5,22.7,2.22,0.5,0.05,0.2,19.5,0,0,0,1.5,1.5,0.07,-0.5,-0.5
2134,Sergi,ESP,DF,Leganés,La Liga,32,1992,21,2,7,3,42.9,0.33,0.14,0.29,0.67,9.9,0,0,0,1,1,0.15,1,1
2135,Nicolás Serrano,ESP,FW,Athletic Club,La Liga,21,2003,1.2,0,5,1,20,4.02,0.8,0,0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
2136,Benjamin Šeško,SVN,"FW,MF",RB Leipzig,Bundesliga,21,2003,14.2,8,32,18,56.3,2.25,1.27,0.25,0.44,15.9,0,0,0,4.8,4.8,0.15,3.2,3.2
2137,Ryan Sessegnon,ENG,MF,Fulham,Premier League,24,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2138,Stephan El Shaarawy,ITA,"DF,MF",Roma,Serie A,32,1992,8.7,3,20,9,45,2.3,1.03,0.15,0.33,18.5,1,0,0,1.8,1.8,0.09,1.2,1.2
2139,Luke Shaw,ENG,DF,Manchester Utd,Premier League,29,1995,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,Alen Sherri,ALB,GK,Cagliari,Serie A,27,1997,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2141,Eldor Shomurodov,UZB,"FW,MF",Roma,Serie A,29,1995,2.1,1,8,6,75,3.85,2.89,0.13,0.17,10.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1
2142,Djibril Sidibé,FRA,DF,Toulouse,Ligue 1,32,1992,12.1,0,3,0,0,0.25,0,0,0,7.7,0,0,0,0.3,0.3,0.1,-0.3,-0.3
2143,Armindo Sieb,GER,"FW,MF",Mainz 05,Bundesliga,21,2003,7.5,2,25,7,28,3.33,0.93,0.08,0.29,15.8,0,0,0,2.7,2.7,0.11,-0.7,-0.7
2144,Vincent Sierro,SUI,MF,Toulouse,Ligue 1,29,1995,13.7,1,8,0,0,0.58,0,0,0,24,0,1,1,1.2,0.4,0.05,-0.2,-0.4
2145,Tim Siersleben,GER,DF,Heidenheim,Bundesliga,24,2000,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2146,Zain Silcott-Duberry,MSR,FW,Bournemouth,Premier League,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2147,Kiliann Sildillia,FRA,"DF,FW",Freiburg,Bundesliga,22,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2148,André Silva,POR,"FW,MF",RB Leipzig,Bundesliga,29,1995,1.5,1,7,2,28.6,4.77,1.36,0,0,21.1,1,1,1,1.3,0.5,0.07,-0.3,-0.5
2149,Bernardo Silva,POR,"MF,FW",Manchester City,Premier League,30,1994,20.3,2,25,9,36,1.23,0.44,0.08,0.22,12.5,0,0,0,2.9,2.9,0.11,-0.9,-0.9
2150,Caio Henrique Oliveira Silva,BRA,DF,Monaco,Ligue 1,27,1997,8.2,0,2,1,50,0.24,0.12,0,0,17.2,1,0,0,0.1,0.1,0.05,-0.1,-0.1
2151,Fábio Silva,POR,FW,Las Palmas,La Liga,22,2002,13.4,6,33,15,45.5,2.47,1.12,0.15,0.33,14.5,0,1,2,5.7,4.1,0.13,0.3,0.9
2152,Jota Silva,POR,"FW,MF",Nott'ham Forest,Premier League,25,1999,7.7,0,13,2,15.4,1.7,0.26,0,0,14.4,0,0,0,0.9,0.9,0.07,-0.9,-0.9
2153,Eric da Silva Moreira,GER,"MF,DF",Nott'ham Forest,Premier League,18,2006,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2154,Rui Silva,POR,GK,Betis,La Liga,30,1994,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2155,Abdallah Sima,SEN,FW,Brest,Ligue 1,23,2001,6.3,3,19,10,52.6,3.03,1.59,0.16,0.3,13.7,0,0,0,2.2,2.2,0.12,0.8,0.8
2156,Mohamed Simakan,FRA,DF,RB Leipzig,Bundesliga,24,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2157,Giovanni Simeone,ARG,FW,Napoli,Serie A,29,1995,3.3,1,11,2,18.2,3.31,0.6,0.09,0.5,16,0,0,0,1.6,1.6,0.15,-0.6,-0.6
2158,Giuliano Simeone,ARG,"MF,DF",Atlético Madrid,La Liga,22,2002,8.8,1,6,4,66.7,0.68,0.45,0.17,0.25,12.9,0,0,0,1,1,0.17,0,0
2159,Moses Simon,NGA,"FW,MF",Nantes,Ligue 1,29,1995,15.9,5,29,12,41.4,1.83,0.76,0.1,0.25,19.6,1,2,2,3.5,1.9,0.07,1.5,1.1
2160,Unai Simón,ESP,GK,Athletic Club,La Liga,27,1997,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2161,Xavi Simons,NED,MF,RB Leipzig,Bundesliga,21,2003,10.3,4,20,9,45,1.95,0.88,0.2,0.44,17.3,0,0,0,2.1,2.1,0.1,1.9,1.9
2162,Jahmai Simpson-Pusey,ENG,DF,Manchester City,Premier League,19,2005,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2163,Danel Sinani,LUX,"FW,MF",St. Pauli,Bundesliga,27,1997,4.4,1,14,5,35.7,3.2,1.14,0.07,0.2,23.1,1,0,0,0.4,0.4,0.03,0.6,0.6
2164,Lassine Sinayoko,MLI,"FW,MF",Auxerre,Ligue 1,25,1999,15.1,2,28,8,28.6,1.86,0.53,0.04,0.13,18.1,0,1,1,2.8,2,0.07,-0.8,-1
2165,Wilfried Singo,CIV,DF,Monaco,Ligue 1,24,2000,13.2,1,9,3,33.3,0.68,0.23,0.11,0.33,10.7,0,0,0,1.2,1.2,0.13,-0.2,-0.2
2166,Luis Sinisterra,COL,"FW,MF",Bournemouth,Premier League,25,1999,2.3,1,12,6,50,5.19,2.6,0.08,0.17,15.7,0,0,0,1.1,1.1,0.09,-0.1,-0.1
2167,Daley Sinkgraven,NED,DF,Las Palmas,La Liga,29,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,Jailson Siqueira,BRA,"DF,MF",Celta Vigo,La Liga,29,1995,5,0,2,1,50,0.4,0.2,0,0,11.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2169,Ibrahim Sissoko,MLI,FW,Saint-Étienne,Ligue 1,29,1995,8.9,3,21,4,19,2.36,0.45,0.1,0.5,14.6,0,1,1,4.3,3.5,0.17,-1.3,-1.5
2170,Ibrahima Sissoko,MLI,MF,Bochum,Bundesliga,27,1997,16.9,1,13,3,23.1,0.77,0.18,0.08,0.33,20.2,0,0,0,0.6,0.6,0.05,0.4,0.4
2171,Niama Sissoko,MLI,FW,Reims,Ligue 1,19,2005,0.2,0,2,0,0,10,0,0,0,9.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2
2172,Antonio Sivera,ESP,GK,Alavés,La Liga,28,1996,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2173,Tim Skarke,GER,"FW,MF",Union Berlin,Bundesliga,28,1996,6.9,0,15,5,33.3,2.18,0.73,0,0,17.5,0,0,0,1.3,1.3,0.09,-1.3,-1.3
2174,Ellyes Skhiri,TUN,MF,Eint Frankfurt,Bundesliga,29,1995,14,0,8,0,0,0.57,0,0,0,19.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5
2175,Oliver Skipp,ENG,MF,Leicester City,Premier League,24,2000,8.5,0,3,1,33.3,0.35,0.12,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2176,Leo Skiri Østigård,NOR,DF,Rennes,Ligue 1,25,1999,13.6,1,6,2,33.3,0.44,0.15,0.17,0.5,8.8,0,0,0,0.7,0.7,0.11,0.3,0.3
2177,Łukasz Skorupski,POL,GK,Bologna,Serie A,33,1991,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2178,Andreas Skov Olsen,DEN,"DF,MF",Wolfsburg,Bundesliga,25,1999,0.5,0,2,0,0,4,0,0,0,15.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
2179,Robert Skov,DEN,"DF,MF",Union Berlin,Bundesliga,28,1996,7.3,2,12,4,33.3,1.65,0.55,0.08,0.25,23.3,2,1,1,1.6,0.8,0.07,0.4,0.2
2180,Milan Škriniar,SVK,DF,Paris S-G,Ligue 1,29,1995,4.2,0,3,0,0,0.71,0,0,0,10.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2181,Steven Skrzybski,GER,"FW,MF",Holstein Kiel,Bundesliga,32,1992,6.3,1,13,6,46.2,2.05,0.95,0.08,0.17,19.3,0,0,0,1.4,1.4,0.11,-0.4,-0.4
2182,Naatan Skyttä,FIN,FW,Toulouse,Ligue 1,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2183,William Smallbone,IRL,MF,Southampton,Premier League,24,2000,3.2,0,4,0,0,1.26,0,0,0,19.3,1,0,0,0.3,0.3,0.08,-0.3,-0.3
2184,Adam Smith,ENG,DF,Bournemouth,Premier League,33,1991,11.5,0,1,0,0,0.09,0,0,0,10.2,0,0,0,0.6,0.6,0.6,-0.6,-0.6
2185,Eric Smith,SWE,DF,St. Pauli,Bundesliga,28,1997,16.4,1,12,5,41.7,0.73,0.3,0.08,0.2,25.5,5,0,0,0.7,0.7,0.05,0.3,0.3
2186,Justin Smith,CAN,MF,Espanyol,La Liga,21,2003,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2187,Emile Smith Rowe,ENG,MF,Fulham,Premier League,24,2000,15.1,4,24,5,20.8,1.58,0.33,0.17,0.8,14.8,0,0,0,3.3,3.3,0.14,0.7,0.7
2188,Eduard Sobol,UKR,DF,Strasbourg,Ligue 1,29,1995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2189,Simon Sohm,SUI,MF,Parma,Serie A,23,2001,20.8,3,22,7,31.8,1.06,0.34,0.14,0.43,20,0,0,0,2.1,2.1,0.1,0.9,0.9
2190,Alex Sola,ESP,"MF,FW",Getafe,La Liga,25,1999,11.3,0,15,2,13.3,1.33,0.18,0,0,18.6,0,0,0,1,1,0.06,-1,-1
2191,Dominic Solanke,ENG,FW,Tottenham,Premier League,27,1997,17.8,7,46,19,41.3,2.59,1.07,0.15,0.37,12.3,0,0,0,8.5,8.5,0.19,-1.5,-1.5
2192,Ola Solbakken,NOR,"MF,FW",Empoli,Serie A,26,1998,6.6,0,3,3,100,0.46,0.46,0,0,11,0,0,0,0.8,0.8,0.25,-0.8,-0.8
2193,Carlos Soler,ESP,"MF,FW",West Ham,Premier League,28,1997,10.2,1,19,5,26.3,1.87,0.49,0.05,0.2,19.7,1,0,0,1.2,1.2,0.06,-0.2,-0.2
2194,Oumar Solet,FRA,DF,Udinese,Serie A,24,2000,2.7,0,1,0,0,0.37,0,0,0,23.8,0,0,0,0,0,0.02,0,0
2195,Jhon Solis,COL,MF,Girona,La Liga,20,2004,4,1,3,1,33.3,0.75,0.25,0.33,1,15.5,0,0,0,0.6,0.6,0.2,0.4,0.4
2196,Yann Sommer,SUI,GK,Inter,Serie A,36,1988,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2197,David Soria,ESP,GK,Getafe,La Liga,31,1993,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,Juan Soriano,ESP,GK,Leganés,La Liga,27,1997,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2199,Borna Sosa,CRO,DF,Torino,Serie A,27,1998,10.5,0,3,1,33.3,0.29,0.1,0,0,23.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2200,Ramón Sosa,PAR,"FW,MF",Nott'ham Forest,Premier League,25,1999,2.7,1,10,5,50,3.73,1.87,0.1,0.2,18.9,0,0,0,0.9,0.9,0.09,0.1,0.1
2201,Hugo Sotelo,ESP,MF,Celta Vigo,La Liga,21,2003,8,0,3,0,0,0.38,0,0,0,23.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2202,Florian Sotoca,FRA,"FW,MF",Lens,Ligue 1,34,1990,11.5,0,29,11,37.9,2.53,0.96,0,0,14.4,0,0,0,3.3,3.3,0.11,-3.3,-3.3
2203,Riccardo Sottil,ITA,"FW,MF",Fiorentina,Serie A,25,1999,9.3,1,22,6,27.3,2.38,0.65,0.05,0.17,19.7,1,0,0,0.9,0.9,0.04,0.1,0.1
2204,Tomáš Souček,CZE,MF,West Ham,Premier League,29,1995,17.9,5,37,9,24.3,2.06,0.5,0.14,0.56,11.4,0,0,0,3.6,3.6,0.1,1.4,1.4
2205,Matìas Soulé,ARG,"MF,FW",Roma,Serie A,21,2003,6.1,1,15,5,33.3,2.45,0.82,0.07,0.2,20.5,0,0,0,1.3,1.3,0.09,-0.3,-0.3
2206,Boubakary Soumaré,FRA,MF,Leicester City,Premier League,25,1999,12.3,0,5,0,0,0.41,0,0,0,23.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2207,Issa Soumaré,SEN,"FW,MF",Le Havre,Ligue 1,24,2000,8,0,11,5,45.5,1.37,0.62,0,0,16.6,0,0,0,1.2,1.2,0.11,-1.2,-1.2
2208,Djibril Sow,SUI,MF,Sevilla,La Liga,27,1997,11.1,1,13,4,30.8,1.17,0.36,0.08,0.25,18.2,0,0,0,1.8,1.8,0.14,-0.8,-0.8
2209,Saidou Sow,GUI,DF,Strasbourg,Ligue 1,22,2002,11.3,0,4,1,25,0.35,0.09,0,0,10.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
2210,Saidou Sow,GUI,DF,Nantes,Ligue 1,22,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,Djed Spence,ENG,DF,Tottenham,Premier League,24,2000,6.6,0,3,0,0,0.46,0,0,0,23.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2212,Leonardo Spinazzola,ITA,"DF,FW",Napoli,Serie A,31,1993,6.1,0,3,1,33.3,0.49,0.16,0,0,17.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2213,Anton Stach,GER,"DF,MF",Hoffenheim,Bundesliga,26,1998,17,0,16,7,43.8,0.94,0.41,0,0,19.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9
2214,Jens Stage,DEN,MF,Werder Bremen,Bundesliga,28,1996,13.4,7,24,8,33.3,1.79,0.6,0.29,0.88,13,0,0,0,4.1,4.1,0.17,2.9,2.9
2215,Josip Stanišić,CRO,DF,Bayern Munich,Bundesliga,24,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2216,Filip Stankovic,SRB,GK,Venezia,Serie A,22,2002,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,Jay Stansfield,ENG,MF,Fulham,Premier League,22,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2218,Carl Starfelt,SWE,DF,Celta Vigo,La Liga,29,1995,17.1,1,4,1,25,0.23,0.06,0.25,1,12.9,0,0,0,0.3,0.3,0.08,0.7,0.7
