Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
210,Scott Banks,SCO,"FW,MF",St. Pauli,Bundesliga,23,2001,0.9,0,3,0,0,3.33,0,0,0,11.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3
211,Adrian Baquerin,ESP,FW,Valladolid,La Liga,17,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Antonín Barák,CZE,MF,Fiorentina,Serie A,30,1994,0.6,0,2,2,100,3.33,3.33,0,0,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
213,Federico Barba,ITA,DF,Como,Serie A,31,1993,4.8,0,2,1,50,0.42,0.21,0,0,8.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2
214,Valentín Barco,ARG,"DF,FW",Sevilla,La Liga,20,2004,3.2,0,7,0,0,2.19,0,0,0,27.8,2,0,0,0.3,0.3,0.04,-0.3,-0.3
215,Bradley Barcola,FRA,FW,Paris S-G,Ligue 1,22,2002,13.9,11,49,25,51,3.53,1.8,0.22,0.44,12.1,0,0,0,9.4,9.4,0.19,1.6,1.6
216,Melvin Bard,FRA,"DF,MF",Nice,Ligue 1,24,2000,9.7,1,10,5,50,1.03,0.52,0.1,0.2,15.7,0,0,0,1.4,1.4,0.14,-0.4,-0.4
217,Nicolò Barella,ITA,MF,Inter,Serie A,27,1997,15.4,3,26,6,23.1,1.68,0.39,0.12,0.5,24.4,0,0,0,1.4,1.4,0.05,1.6,1.6
218,Gabriel Bares,SUI,"MF,DF",Montpellier,Ligue 1,24,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Kike Barja,ESP,"FW,MF",Osasuna,La Liga,27,1997,1.6,0,3,1,33.3,1.9,0.63,0,0,19.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
220,Ross Barkley,ENG,MF,Aston Villa,Premier League,31,1993,6.2,3,14,4,28.6,2.27,0.65,0.21,0.75,13.8,0,0,0,1.7,1.7,0.12,1.3,1.3
221,Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,26,1998,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Harvey Barnes,ENG,FW,Newcastle Utd,Premier League,27,1997,8.7,5,28,10,35.7,3.22,1.15,0.18,0.5,14.6,0,0,0,3,3,0.11,2,2
223,Enzo Barrenechea,ARG,MF,Valencia,La Liga,23,2001,11,1,5,1,20,0.46,0.09,0.2,1,11.9,0,0,0,0.7,0.7,0.14,0.3,0.3
224,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,La Liga,23,2001,7.9,1,17,5,29.4,2.15,0.63,0.06,0.2,14.3,0,0,0,1.3,1.3,0.08,-0.3,-0.3
225,Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,21,2003,14.5,0,18,5,27.8,1.24,0.35,0,0,23.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8
226,Thierno Barry,FRA,FW,Villarreal,La Liga,22,2002,15,7,48,15,31.3,3.2,1,0.13,0.4,12.1,0,1,1,8.9,8.1,0.17,-1.9,-2.1
