Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
301,Bjarki Bjarkason,is ISL,"DF,MF",Venezia,it Serie A,24-266,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
302,Antonio Blanco,es ESP,MF,Alavés,es La Liga,24-193,2000,14.8,0,14,1,7.1,0.95,0.07,0.00,0.00,24.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
303,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,27-032,1997,17.4,5,43,22,51.2,2.48,1.27,0.12,0.23,17.2,1,0,0,4.1,4.1,0.09,+0.9,+0.9,Matches
304,Daley Blind,nl NED,DF,Girona,es La Liga,34-329,1990,15.4,0,4,2,50.0,0.26,0.13,0.00,0.00,19.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
305,Myron Boadu,nl NED,FW,Bochum,de Bundesliga,24-018,2001,5.7,5,15,7,46.7,2.61,1.22,0.27,0.57,12.4,0,1,1,4.5,3.7,0.25,+0.5,+0.3,Matches
306,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,fr Ligue 1,24-090,2000,6.3,3,19,9,47.4,3.01,1.42,0.16,0.33,20.0,1,0,0,1.4,1.4,0.08,+1.6,+1.6,Matches
307,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,24-141,2000,3.1,0,1,0,0.0,0.32,0.00,0.00,,14.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
308,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,28-029,1997,6.9,0,17,9,52.9,2.46,1.30,0.00,0.00,16.0,2,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
309,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,eng Premier League,21-027,2004,3.0,0,1,1,100.0,0.34,0.34,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
310,Emil Bohinen,no NOR,MF,Genoa,it Serie A,25-326,1999,1.8,0,2,0,0.0,1.08,0.00,0.00,,28.6,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
311,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,22-224,2002,6.7,0,2,0,0.0,0.30,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
312,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,33-364,1991,1.3,0,1,1,100.0,0.78,0.78,0.00,0.00,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
313,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,24-308,2000,13.0,0,4,1,25.0,0.31,0.08,0.00,0.00,9.4,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
314,Warren Bondo,fr FRA,MF,Monza,it Serie A,21-139,2003,18.0,0,13,1,7.7,0.72,0.06,0.00,0.00,25.9,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
